"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,12049,25339,25978,"Florida","FL",0.02521804333241251,"Hardee County","Hardee County","florida/hardee-county",638,40.71786833855799,53
2025,12123,21743,22120,"Florida","FL",0.017338913673366152,"Taylor County","Taylor County","florida/taylor-county",1043,21.20805369127517,54
2025,12041,17882,20757,"Florida","FL",0.1607761995302539,"Gilchrist County","Gilchrist County","florida/gilchrist-county",350,59.30571428571429,55
2025,12059,19578,20526,"Florida","FL",0.04842169782408834,"Holmes County","Holmes County","florida/holmes-county",479,42.8517745302714,56
2025,12079,17869,19097,"Florida","FL",0.0687223683474174,"Madison County","Madison County","florida/madison-county",697,27.398852223816355,57
2025,12029,16687,18155,"Florida","FL",0.0879726733385271,"Dixie County","Dixie County","florida/dixie-county",705,25.75177304964539,58
2025,12045,14259,16481,"Florida","FL",0.1558314047268392,"Gulf County","Gulf County","florida/gulf-county",553,29.802893309222423,59
2025,12065,14399,16212,"Florida","FL",0.12591152163344677,"Jefferson County","Jefferson County","florida/jefferson-county",598,27.110367892976587,60
2025,12125,15425,15568,"Florida","FL",0.009270664505672599,"Union County","Union County","florida/union-county",244,63.80327868852459,61
2025,12047,13729,14025,"Florida","FL",0.021560201034307003,"Hamilton County","Hamilton County","florida/hamilton-county",514,27.285992217898833,62
2025,12013,13707,13480,"Florida","FL",-0.016560881301524777,"Calhoun County","Calhoun County","florida/calhoun-county",567,23.774250440917108,63
2025,12043,12078,13432,"Florida","FL",0.11210465308825968,"Glades County","Glades County","florida/glades-county",807,16.64436183395291,64
2025,12037,12468,12798,"Florida","FL",0.026467757459095242,"Franklin County","Franklin County","florida/franklin-county",545,23.48256880733945,65
2025,12067,8218,8680,"Florida","FL",0.05621805792163537,"Lafayette County","Lafayette County","florida/lafayette-county",543,15.985267034990791,66
2025,12077,7804,7892,"Florida","FL",0.011276268580215243,"Liberty County","Liberty County","florida/liberty-county",836,9.440191387559809,67
