"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,36057,49485,49438,"New York","NY",-0.0009497827624532773,"Montgomery County","Montgomery County","new-york/montgomery-county",403,122.67493796526054,46
2025,36107,48348,47613,"New York","NY",-0.015202283445023612,"Tioga County","Tioga County","new-york/tioga-county",519,91.73988439306359,47
2025,36033,47477,46720,"New York","NY",-0.015944562630326287,"Franklin County","Franklin County","new-york/franklin-county",1629,28.680171884591775,48
2025,36003,47328,46501,"New York","NY",-0.017473799864773487,"Allegany County","Allegany County","new-york/allegany-county",1030,45.146601941747576,49
2025,36039,47752,46496,"New York","NY",-0.026302563243424393,"Greene County","Greene County","new-york/greene-county",647,71.86398763523957,50
2025,36017,47064,45098,"New York","NY",-0.041772904980452163,"Chenango County","Chenango County","new-york/chenango-county",893,50.501679731243,51
2025,36023,46741,45094,"New York","NY",-0.035236730065681066,"Cortland County","Cortland County","new-york/cortland-county",499,90.3687374749499,52
2025,36025,44231,43682,"New York","NY",-0.012412109154213091,"Delaware County","Delaware County","new-york/delaware-county",1443,30.271656271656273,53
2025,36121,40259,39394,"New York","NY",-0.02148587893390297,"Wyoming County","Wyoming County","new-york/wyoming-county",593,66.43170320404722,54
2025,36073,40135,39046,"New York","NY",-0.027133424691665575,"Orleans County","Orleans County","new-york/orleans-county",391,99.86189258312021,55
2025,36031,37275,36799,"New York","NY",-0.01276995305164319,"Essex County","Essex County","new-york/essex-county",1794,20.51226309921962,56
2025,36099,33516,31875,"New York","NY",-0.048961689939133524,"Seneca County","Seneca County","new-york/seneca-county",324,98.37962962962963,57
2025,36095,29753,30133,"New York","NY",0.012771821328941613,"Schoharie County","Schoharie County","new-york/schoharie-county",622,48.445337620578776,58
2025,36049,26560,26454,"New York","NY",-0.0039909638554216365,"Lewis County","Lewis County","new-york/lewis-county",1276,20.731974921630094,59
2025,36123,24722,24412,"New York","NY",-0.012539438556751104,"Yates County","Yates County","new-york/yates-county",338,72.22485207100591,60
2025,36097,17864,17303,"New York","NY",-0.03140394088669951,"Schuyler County","Schuyler County","new-york/schuyler-county",328,52.7530487804878,61
2025,36041,5079,5004,"New York","NY",-0.01476668635558176,"Hamilton County","Hamilton County","new-york/hamilton-county",1717,2.9143855562026793,62
