District,County,Graduation rate 2023,,,,,,,,
OTSELIC VALLEY  AT GEORGETOWN-SOUTH O,CHENANGO,95%,,,,,,,,
OWEGO-APALACHIN ,TIOGA,92%,,,,,,,,
OXFORD ACADEMY AND ,CHENANGO,93%,,,,,,,,
OYSTER BAY-EAST NORWICH ,NASSAU,95%,,,,,,,,
PALMYRA-MACEDON ,WAYNE,91%,,,,,,,,
PANAMA ,CHAUTAUQUA,97%,,,,,,,,
PARISHVILLE-HOPKINTON ,SAINT LAWRENCE,94%,,,,,,,,
PATCHOGUE-MEDFORD ,SUFFOLK,86%,,,,,,,,
PAVILION ,GENESEE,94%,,,,,,,,
PAWLING ,DUTCHESS,91%,,,,,,,,
PEARL RIVER ,ROCKLAND,92%,,,,,,,,
PEEKSKILL ,WESTCHESTER,77%,,,,,,,,
PELHAM ,WESTCHESTER,100%,,,,,,,,
PEMBROKE ,GENESEE,92%,,,,,,,,
PENFIELD ,MONROE,94%,,,,,,,,
PENN YAN ,YATES,85%,,,,,,,,
PERRY ,WYOMING,90%,,,,,,,,
PERU ,CLINTON,85%,,,,,,,,
PHELPS-CLIFTON SPRINGS ,ONTARIO,94%,,,,,,,,
PHOENIX ,OSWEGO,85%,,,,,,,,
PINE BUSH ,ORANGE,92%,,,,,,,,
PINE PLAINS ,DUTCHESS,85%,,,,,,,,
PINE VALLEY  (SOUTH DAYTON),CHAUTAUQUA,80%,,,,,,,,
PITTSFORD ,MONROE,96%,,,,,,,,
PLAINEDGE ,NASSAU,94%,,,,,,,,
PLAINVIEW-OLD BETHPAGE ,NASSAU,99%,,,,,,,,
PLATTSBURGH ,CLINTON,81%,,,,,,,,
PLEASANTVILLE ,WESTCHESTER,97%,,,,,,,,
POLAND ,HERKIMER,91%,,,,,,,,
PORT BYRON ,CAYUGA,89%,,,,,,,,
PORT CHESTER-RYE ,WESTCHESTER,82%,,,,,,,,
PORT JEFFERSON ,SUFFOLK,100%,,,,,,,,
PORT JERVIS ,ORANGE,80%,,,,,,,,
PORT WASHINGTON ,NASSAU,95%,,,,,,,,
PORTVILLE ,CATTARAUGUS,95%,,,,,,,,
POTSDAM ,SAINT LAWRENCE,85%,,,,,,,,
POUGHKEEPSIE ,DUTCHESS,54%,,,,,,,,
PRATTSBURGH ,STEUBEN,100%,,,,,,,,
PULASKI ,OSWEGO,97%,,,,,,,,
PUTNAM VALLEY ,PUTNAM,98%,,,,,,,,
QUEENSBURY ,WARREN,91%,,,,,,,,
RANDOLPH ,CATTARAUGUS,89%,,,,,,,,
RAVENA-COEYMANS-SELKIRK ,ALBANY,84%,,,,,,,,
RED CREEK ,WAYNE,84%,,,,,,,,
RED HOOK ,DUTCHESS,87%,,,,,,,,
REMSEN ,ONEIDA,81%,,,,,,,,
RENSSELAER ,RENSSELAER,80%,,,,,,,,
RHINEBECK ,DUTCHESS,94%,,,,,,,,
RICHFIELD SPRINGS ,OTSEGO,86%,,,,,,,,
RIVERHEAD ,SUFFOLK,82%,,,,,,,,
ROCHESTER ,MONROE,67%,,,,,,,,
ROCKVILLE CENTRE ,NASSAU,97%,,,,,,,,
ROCKY POINT ,SUFFOLK,93%,,,,,,,,
ROME ,ONEIDA,80%,,,,,,,,
ROMULUS ,SENECA,82%,,,,,,,,
RONDOUT VALLEY ,ULSTER,94%,,,,,,,,
ROOSEVELT ,NASSAU,80%,,,,,,,,
ROSCOE ,SULLIVAN,89%,,,,,,,,
ROSLYN ,NASSAU,97%,,,,,,,,
ROTTERDAM-MOHONASEN ,SCHENECTADY,81%,,,,,,,,
ROXBURY ,DELAWARE,100%,,,,,,,,
ROYALTON-HARTLAND ,NIAGARA,94%,,,,,,,,
RUSH-HENRIETTA ,MONROE,91%,,,,,,,,
RYE ,WESTCHESTER,99%,,,,,,,,
RYE NECK ,WESTCHESTER,95%,,,,,,,,
SACHEM ,SUFFOLK,93%,,,,,,,,
SACKETS HARBOR ,JEFFERSON,89%,,,,,,,,
SAG HARBOR ,SUFFOLK,91%,,,,,,,,
SAINT REGIS FALLS ,FRANKLIN,82%,,,,,,,,
SALAMANCA ,CATTARAUGUS,81%,,,,,,,,
SALEM ,WASHINGTON,86%,,,,,,,,
SALMON RIVER ,FRANKLIN,92%,,,,,,,,
SANDY CREEK ,OSWEGO,86%,,,,,,,,
SARANAC ,CLINTON,93%,,,,,,,,
SARANAC LAKE ,FRANKLIN,96%,,,,,,,,
SAUGERTIES ,ULSTER,89%,,,,,,,,
SAUQUOIT VALLEY ,ONEIDA,91%,,,,,,,,
SAYVILLE ,SUFFOLK,97%,,,,,,,,
SCARSDALE ,WESTCHESTER,98%,,,,,,,,
SCHALMONT ,SCHENECTADY,87%,,,,,,,,
SCHENECTADY ,SCHENECTADY,74%,,,,,,,,
SCHENEVUS ,OTSEGO,95%,,,,,,,,
SCHODACK ,RENSSELAER,94%,,,,,,,,
SCHOHARIE ,SCHOHARIE,87%,,,,,,,,
SCHROON LAKE ,ESSEX,100%,,,,,,,,
SCHUYLERVILLE ,SARATOGA,94%,,,,,,,,
SCIO ,ALLEGANY,75%,,,,,,,,
SCOTIA-GLENVILLE ,SCHENECTADY,81%,,,,,,,,
SEAFORD ,NASSAU,97%,,,,,,,,
SENECA FALLS ,SENECA,92%,,,,,,,,
SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,NASSAU,95%,,,,,,,,
SHARON SPRINGS ,SCHOHARIE,91%,,,,,,,,
SHELTER ISLAND ,SUFFOLK,82%,,,,,,,,
SHENENDEHOWA ,SARATOGA,94%,,,,,,,,
SHERBURNE-EARLVILLE ,CHENANGO,86%,,,,,,,,
SHERMAN ,CHAUTAUQUA,92%,,,,,,,,
SHERRILL ,ONEIDA,92%,,,,,,,,
SHOREHAM-WADING RIVER ,SUFFOLK,99%,,,,,,,,
SIDNEY ,DELAWARE,92%,,,,,,,,
SILVER CREEK ,CHAUTAUQUA,88%,,,,,,,,
SKANEATELES ,ONONDAGA,94%,,,,,,,,
SMITHTOWN ,SUFFOLK,97%,,,,,,,,
SODUS ,WAYNE,78%,,,,,,,,
SOLVAY ,ONONDAGA,90%,,,,,,,,
SOMERS ,WESTCHESTER,96%,,,,,,,,
SOUTH COLONIE ,ALBANY,88%,,,,,,,,
SOUTH COUNTRY ,SUFFOLK,84%,,,,,,,,
SOUTH GLENS FALLS ,SARATOGA,87%,,,,,,,,
SOUTH HUNTINGTON ,SUFFOLK,89%,,,,,,,,
SOUTH JEFFERSON ,JEFFERSON,89%,,,,,,,,
SOUTH KORTRIGHT ,DELAWARE,96%,,,,,,,,
SOUTH LEWIS ,LEWIS,82%,,,,,,,,
SOUTH ORANGETOWN ,ROCKLAND,96%,,,,,,,,
SOUTH SENECA ,SENECA,86%,,,,,,,,
SOUTHAMPTON ,SUFFOLK,87%,,,,,,,,
SOUTHERN CAYUGA ,CAYUGA,88%,,,,,,,,
SOUTHOLD ,SUFFOLK,92%,,,,,,,,
SOUTHWESTERN  AT JAMESTOWN,CHAUTAUQUA,93%,,,,,,,,
SPACKENKILL ,DUTCHESS,95%,,,,,,,,
SPENCERPORT ,MONROE,94%,,,,,,,,
SPENCER-VAN ETTEN ,TIOGA,80%,,,,,,,,
SPRINGVILLE-GRIFFITH INSTITUTE ,ERIE,92%,,,,,,,,
STAMFORD ,DELAWARE,83%,,,,,,,,
STARPOINT ,NIAGARA,98%,,,,,,,,
STILLWATER ,SARATOGA,87%,,,,,,,,
STOCKBRIDGE VALLEY ,MADISON,92%,,,,,,,,
SUFFERN ,ROCKLAND,92%,,,,,,,,
SULLIVAN WEST ,SULLIVAN,90%,,,,,,,,
SUSQUEHANNA VALLEY ,BROOME,84%,,,,,,,,
SWEET HOME ,ERIE,94%,,,,,,,,
SYOSSET ,NASSAU,99%,,,,,,,,
SYRACUSE ,ONONDAGA,69%,,,,,,,,
TACONIC HILLS ,COLUMBIA,86%,,,,,,,,
TARRYTOWNS,WESTCHESTER,92%,,,,,,,,
THE ENLARGED  OF THE CITY OF SARATOGA SP,SARATOGA,93%,,,,,,,,
THOUSAND ISLANDS ,JEFFERSON,93%,,,,,,,,
THREE VILLAGE ,SUFFOLK,97%,,,,,,,,
TICONDEROGA ,ESSEX,91%,,,,,,,,
TIOGA ,TIOGA,94%,,,,,,,,
TONAWANDA ,ERIE,88%,,,,,,,,
TOWN OF WEBB ,HERKIMER,100%,,,,,,,,
TRI-VALLEY ,SULLIVAN,86%,,,,,,,,
TROY ,RENSSELAER,83%,,,,,,,,
TRUMANSBURG ,TOMPKINS,91%,,,,,,,,
TUCKAHOE ,WESTCHESTER,94%,,,,,,,,
TULLY ,ONONDAGA,91%,,,,,,,,
TUPPER LAKE ,FRANKLIN,78%,,,,,,,,
TUXEDO ,ORANGE,100%,,,,,,,,
UNADILLA VALLEY ,CHENANGO,90%,,,,,,,,
UNION SPRINGS ,CAYUGA,91%,,,,,,,,
UNIONDALE ,NASSAU,83%,,,,,,,,
UNION-ENDICOTT ,BROOME,79%,,,,,,,,
UTICA ,ONEIDA,76%,,,,,,,,
VALHALLA ,WESTCHESTER,98%,,,,,,,,
VALLEY  (MONTGOMERY),ORANGE,89%,,,,,,,,
VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,NASSAU,94%,,,,,,,,
VAN HORNESVILLE-OWEN D YOUNG ,HERKIMER,80%,,,,,,,,
VESTAL ,BROOME,90%,,,,,,,,
VICTOR ,ONTARIO,95%,,,,,,,,
VOORHEESVILLE ,ALBANY,98%,,,,,,,,
WALLKILL ,ULSTER,93%,,,,,,,,
WALTON ,DELAWARE,94%,,,,,,,,
WANTAGH ,NASSAU,98%,,,,,,,,
WAPPINGERS ,DUTCHESS,92%,,,,,,,,
WARRENSBURG ,WARREN,90%,,,,,,,,
WARSAW ,WYOMING,84%,,,,,,,,
WARWICK VALLEY ,ORANGE,95%,,,,,,,,
WASHINGTONVILLE ,ORANGE,94%,,,,,,,,
WATERFORD-HALFMOON ,SARATOGA,85%,,,,,,,,
WATERLOO ,SENECA,83%,,,,,,,,
WATERTOWN ,JEFFERSON,75%,,,,,,,,
WATERVILLE ,ONEIDA,89%,,,,,,,,
WATERVLIET ,ALBANY,81%,,,,,,,,
WATKINS GLEN ,SCHUYLER,87%,,,,,,,,
WAVERLY ,TIOGA,83%,,,,,,,,
WAYLAND-COHOCTON ,STEUBEN,92%,,,,,,,,
WAYNE ,WAYNE,91%,,,,,,,,
WEBSTER ,MONROE,94%,,,,,,,,
WEEDSPORT ,CAYUGA,89%,,,,,,,,
WELLS ,HAMILTON,94%,,,,,,,,
WELLSVILLE ,ALLEGANY,89%,,,,,,,,
WEST BABYLON ,SUFFOLK,94%,,,,,,,,
WEST CANADA VALLEY ,HERKIMER,88%,,,,,,,,
WEST GENESEE ,ONONDAGA,91%,,,,,,,,
WEST HEMPSTEAD ,NASSAU,95%,,,,,,,,
WEST IRONDEQUOIT ,MONROE,95%,,,,,,,,
WEST ISLIP ,SUFFOLK,99%,,,,,,,,
WEST SENECA ,ERIE,87%,,,,,,,,
WEST VALLEY ,CATTARAUGUS,100%,,,,,,,,
WESTBURY ,NASSAU,87%,,,,,,,,
WESTFIELD ,CHAUTAUQUA,87%,,,,,,,,
WESTHAMPTON BEACH ,SUFFOLK,89%,,,,,,,,
WESTHILL ,ONONDAGA,97%,,,,,,,,
WESTMORELAND ,ONEIDA,92%,,,,,,,,
WHEATLAND-CHILI ,MONROE,93%,,,,,,,,
WHITE PLAINS ,WESTCHESTER,90%,,,,,,,,
WHITEHALL ,WASHINGTON,90%,,,,,,,,
WHITESBORO ,ONEIDA,91%,,,,,,,,
WHITESVILLE ,ALLEGANY,100%,,,,,,,,
WHITNEY POINT ,BROOME,77%,,,,,,,,
WILLIAM FLOYD ,SUFFOLK,87%,,,,,,,,
WILLIAMSON ,WAYNE,89%,,,,,,,,
WILLIAMSVILLE ,ERIE,95%,,,,,,,,
WILLSBORO ,ESSEX,89%,,,,,,,,
WILSON ,NIAGARA,89%,,,,,,,,
WINDHAM-ASHLAND-JEWETT ,GREENE,84%,,,,,,,,
WINDSOR ,BROOME,90%,,,,,,,,
WORCESTER ,OTSEGO,93%,,,,,,,,
WYANDANCH ,SUFFOLK,76%,,,,,,,,
YONKERS ,WESTCHESTER,90%,,,,,,,,
YORK ,LIVINGSTON,96%,,,,,,,,
YORKSHIRE-PIONEER ,CATTARAUGUS,83%,,,,,,,,
YORKTOWN ,WESTCHESTER,97%,,,,,,,,
