District,County,Graduation rate 2023,,,,,,,,
CHENANGO VALLEY ,BROOME,93%,,,,,,,,
CHERRY VALLEY-SPRINGFIELD ,OTSEGO,97%,,,,,,,,
CHESTER ,ORANGE,94%,,,,,,,,
CHITTENANGO ,MADISON,91%,,,,,,,,
CHURCHVILLE-CHILI ,MONROE,92%,,,,,,,,
CINCINNATUS ,CORTLAND,90%,,,,,,,,
CLARENCE ,ERIE,96%,,,,,,,,
CLARKSTOWN ,ROCKLAND,94%,,,,,,,,
CLEVELAND HILL ,ERIE,92%,,,,,,,,
CLIFTON-FINE ,SAINT LAWRENCE,82%,,,,,,,,
CLINTON ,ONEIDA,94%,,,,,,,,
CLYDE-SAVANNAH ,WAYNE,78%,,,,,,,,
CLYMER ,CHAUTAUQUA,89%,,,,,,,,
COBLESKILL-RICHMONDVILLE ,SCHOHARIE,88%,,,,,,,,
COHOES ,ALBANY,82%,,,,,,,,
COLD SPRING HARBOR ,SUFFOLK,98%,,,,,,,,
COLTON-PIERREPONT ,SAINT LAWRENCE,97%,,,,,,,,
COMMACK ,SUFFOLK,97%,,,,,,,,
CONNETQUOT ,SUFFOLK,95%,,,,,,,,
COOPERSTOWN ,OTSEGO,95%,,,,,,,,
COPENHAGEN ,LEWIS,89%,,,,,,,,
COPIAGUE ,SUFFOLK,89%,,,,,,,,
CORINTH ,SARATOGA,89%,,,,,,,,
CORNING ,STEUBEN,86%,,,,,,,,
CORNWALL ,ORANGE,97%,,,,,,,,
CORTLAND ,CORTLAND,77%,,,,,,,,
COXSACKIE-ATHENS ,GREENE,92%,,,,,,,,
CROTON-HARMON ,WESTCHESTER,91%,,,,,,,,
CROWN POINT ,ESSEX,88%,,,,,,,,
CUBA-RUSHFORD ,ALLEGANY,91%,,,,,,,,
DALTON-NUNDA  (KESHEQUA),LIVINGSTON,91%,,,,,,,,
DANSVILLE ,LIVINGSTON,88%,,,,,,,,
DEER PARK ,SUFFOLK,95%,,,,,,,,
DELAWARE ACADEMY  AT DELHI,DELAWARE,91%,,,,,,,,
DEPEW ,ERIE,90%,,,,,,,,
DEPOSIT ,BROOME,85%,,,,,,,,
DERUYTER ,MADISON,97%,,,,,,,,
DOBBS FERRY ,WESTCHESTER,97%,,,,,,,,
DOLGEVILLE ,HERKIMER,94%,,,,,,,,
DOVER ,DUTCHESS,96%,,,,,,,,
DOWNSVILLE ,DELAWARE,81%,,,,,,,,
DRYDEN ,TOMPKINS,86%,,,,,,,,
DUANESBURG ,SCHENECTADY,94%,,,,,,,,
DUNDEE ,YATES,81%,,,,,,,,
DUNKIRK ,CHAUTAUQUA,77%,,,,,,,,
EAST AURORA ,ERIE,94%,,,,,,,,
EAST BLOOMFIELD ,ONTARIO,88%,,,,,,,,
EAST GREENBUSH ,RENSSELAER,95%,,,,,,,,
EAST HAMPTON ,SUFFOLK,91%,,,,,,,,
EAST IRONDEQUOIT ,MONROE,92%,,,,,,,,
EAST ISLIP ,SUFFOLK,94%,,,,,,,,
EAST MEADOW ,NASSAU,95%,,,,,,,,
EAST RAMAPO  (SPRING VALLEY),ROCKLAND,63%,,,,,,,,
EAST ROCHESTER ,MONROE,82%,,,,,,,,
EAST ROCKAWAY ,NASSAU,94%,,,,,,,,
EAST SYRACUSE MINOA ,ONONDAGA,91%,,,,,,,,
EAST WILLISTON ,NASSAU,98%,,,,,,,,
EASTCHESTER ,WESTCHESTER,94%,,,,,,,,
EASTPORT-SOUTH MANOR CSD,SUFFOLK,96%,,,,,,,,
EDEN ,ERIE,96%,,,,,,,,
EDGEMONT ,WESTCHESTER,98%,,,,,,,,
EDMESTON ,OTSEGO,88%,,,,,,,,
EDWARDS-KNOX ,SAINT LAWRENCE,77%,,,,,,,,
ELBA ,GENESEE,100%,,,,,,,,
ELDRED ,SULLIVAN,80%,,,,,,,,
ELLENVILLE ,ULSTER,76%,,,,,,,,
ELLICOTTVILLE ,CATTARAUGUS,97%,,,,,,,,
ELMIRA ,CHEMUNG,80%,,,,,,,,
ELMIRA HEIGHTS ,CHEMUNG,78%,,,,,,,,
ELMSFORD ,WESTCHESTER,91%,,,,,,,,
ELWOOD ,SUFFOLK,95%,,,,,,,,
EVANS-BRANT  (LAKE SHORE),ERIE,92%,,,,,,,,
FABIUS-POMPEY ,ONONDAGA,96%,,,,,,,,
FAIRPORT ,MONROE,92%,,,,,,,,
FALCONER ,CHAUTAUQUA,93%,,,,,,,,
FALLSBURG ,SULLIVAN,66%,,,,,,,,
FARMINGDALE ,NASSAU,96%,,,,,,,,
FAYETTEVILLE-MANLIUS ,ONONDAGA,95%,,,,,,,,
FILLMORE ,ALLEGANY,94%,,,,,,,,
FISHERS ISLAND ,SUFFOLK,67%,,,,,,,,
FLORIDA ,ORANGE,97%,,,,,,,,
FONDA-FULTONVILLE ,MONTGOMERY,93%,,,,,,,,
FORESTVILLE ,CHAUTAUQUA,97%,,,,,,,,
FORT ANN ,WASHINGTON,77%,,,,,,,,
FORT EDWARD ,WASHINGTON,73%,,,,,,,,
FORT PLAIN ,MONTGOMERY,83%,,,,,,,,
FRANKFORT-SCHUYLER ,HERKIMER,85%,,,,,,,,
FRANKLIN ,DELAWARE,88%,,,,,,,,
FRANKLINVILLE ,CATTARAUGUS,95%,,,,,,,,
FREDONIA ,CHAUTAUQUA,88%,,,,,,,,
FREEPORT ,NASSAU,82%,,,,,,,,
FREWSBURG ,CHAUTAUQUA,85%,,,,,,,,
FRIENDSHIP ,ALLEGANY,86%,,,,,,,,
FRONTIER ,ERIE,90%,,,,,,,,
FULTON ,OSWEGO,76%,,,,,,,,
GALWAY ,SARATOGA,89%,,,,,,,,
GANANDA ,WAYNE,95%,,,,,,,,
GARDEN CITY ,NASSAU,98%,,,,,,,,
GATES CHILI ,MONROE,77%,,,,,,,,
GENERAL BROWN ,JEFFERSON,87%,,,,,,,,
GENESEE VALLEY ,ALLEGANY,90%,,,,,,,,
GENESEO ,LIVINGSTON,90%,,,,,,,,
GENEVA ,ONTARIO,77%,,,,,,,,
GEORGE JUNIOR REPUBLIC ,TOMPKINS,67%,,,,,,,,
GERMANTOWN ,COLUMBIA,85%,,,,,,,,
GILBERTSVILLE-MOUNT UPTON ,OTSEGO,80%,,,,,,,,
GILBOA-CONESVILLE ,SCHOHARIE,77%,,,,,,,,
GLEN COVE ,NASSAU,81%,,,,,,,,
GLENS FALLS ,WARREN,74%,,,,,,,,
GLOVERSVILLE ,FULTON,74%,,,,,,,,
GORHAM-MIDDLESEX  (MARCUS WHITMAN),ONTARIO,97%,,,,,,,,
GOSHEN ,ORANGE,95%,,,,,,,,
GOUVERNEUR ,SAINT LAWRENCE,80%,,,,,,,,
GOWANDA ,CATTARAUGUS,87%,,,,,,,,
GRAND ISLAND ,ERIE,93%,,,,,,,,
GRANVILLE ,WASHINGTON,84%,,,,,,,,
GREAT NECK ,NASSAU,95%,,,,,,,,
GREECE ,MONROE,87%,,,,,,,,
GREEN ISLAND ,ALBANY,88%,,,,,,,,
GREENBURGH ,WESTCHESTER,88%,,,,,,,,
GREENBURGH ELEVEN ,WESTCHESTER,30%,,,,,,,,
GREENE ,CHENANGO,88%,,,,,,,,
GREENPORT ,SUFFOLK,78%,,,,,,,,
GREENVILLE ,GREENE,86%,,,,,,,,
GREENWICH ,WASHINGTON,88%,,,,,,,,
GROTON ,TOMPKINS,84%,,,,,,,,
GUILDERLAND ,ALBANY,95%,,,,,,,,
HADLEY-LUZERNE ,WARREN,84%,,,,,,,,
HALDANE ,PUTNAM,99%,,,,,,,,
HALF HOLLOW HILLS ,SUFFOLK,96%,,,,,,,,
HAMBURG ,ERIE,95%,,,,,,,,
HAMILTON ,MADISON,93%,,,,,,,,
HAMMOND ,SAINT LAWRENCE,87%,,,,,,,,
HAMMONDSPORT ,STEUBEN,86%,,,,,,,,
HAMPTON BAYS ,SUFFOLK,93%,,,,,,,,
HANCOCK ,DELAWARE,100%,,,,,,,,
HANNIBAL ,OSWEGO,78%,,,,,,,,
HARBORFIELDS ,SUFFOLK,99%,,,,,,,,
HARPURSVILLE ,BROOME,88%,,,,,,,,
HARRISON ,WESTCHESTER,99%,,,,,,,,
HARRISVILLE ,LEWIS,79%,,,,,,,,
HARTFORD ,WASHINGTON,97%,,,,,,,,
HASTINGS-ON-HUDSON ,WESTCHESTER,99%,,,,,,,,
HAUPPAUGE ,SUFFOLK,96%,,,,,,,,
HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),ROCKLAND,88%,,,,,,,,
HEMPSTEAD ,NASSAU,82%,,,,,,,,
HENDRICK HUDSON ,WESTCHESTER,91%,,,,,,,,
HERKIMER ,HERKIMER,80%,,,,,,,,
HERMON-DEKALB ,SAINT LAWRENCE,84%,,,,,,,,
HERRICKS ,NASSAU,98%,,,,,,,,
HEUVELTON ,SAINT LAWRENCE,92%,,,,,,,,
HEWLETT-WOODMERE ,NASSAU,95%,,,,,,,,
HICKSVILLE ,NASSAU,89%,,,,,,,,
HIGHLAND ,ULSTER,89%,,,,,,,,
HIGHLAND FALLS ,ORANGE,88%,,,,,,,,
HILTON ,MONROE,93%,,,,,,,,
HINSDALE ,CATTARAUGUS,88%,,,,,,,,
HOLLAND ,ERIE,94%,,,,,,,,
HOLLAND PATENT ,ONEIDA,93%,,,,,,,,
HOLLEY ,ORLEANS,92%,,,,,,,,
HOMER ,CORTLAND,93%,,,,,,,,
HONEOYE ,ONTARIO,89%,,,,,,,,
HONEOYE FALLS-LIMA ,MONROE,92%,,,,,,,,
HOOSIC VALLEY ,RENSSELAER,91%,,,,,,,,
